train_no,train_name,source_station_name,destination_station_name,departure_time,arrival_time,day_of_departure,day_of_arrival,distance
11057,AMRITSAR EXP,CST-MUMBAI,AMRITSAR JN.,23:30:00,16:30:00,Friday,Sunday,101256
11058,ASR CSMT EXP,AMRITSAR JN.,CST-MUMBAI,08:30:00,04:05:00,Thursday,Friday,79823
11093,MAHANAGARI E,CST-MUMBAI,VARANASI JN.,00:10:00,04:40:00,Thursday,Thursday,21018
11094,MAHANAGARI E,VARANASI JN.,CST-MUMBAI,11:20:00,14:15:00,Thursday,Thursday,19367
11301,UDYAN EXPRES,CST-MUMBAI,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),08:10:00,08:50:00,Wednesday,Wednesday,23243
11302,UDYAN EXP,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),CST-MUMBAI,20:45:00,20:15:00,Monday,Tuesday,17121
11401,NANDIGRHAM E,CST-MUMBAI,NAGPUR JN.(CR),16:35:00,16:15:00,Thursday,Friday,18663
11402,NADHIGRAM EX,NAGPUR JN.(CR),CST-MUMBAI,06:00:00,05:35:00,Tuesday,Tuesday,17104
12051,JAN SHATABDI,DADAR,MADGOAN JN.,05:25:00,14:05:00,Wednesday,Wednesday,2743
12052,MAO-DR JAN S,MADGOAN JN.,DADAR,14:30:00,23:05:00,Wednesday,Wednesday,2504
12071,JANSHATABDI,DADAR,JALNA,14:00:00,21:30:00,Wednesday,Wednesday,1278
12072,JANSHATABDI,JALNA,DADAR,04:45:00,12:30:00,Sunday,Sunday,1673
12105,VIDARBHA EXP,CST-MUMBAI,GONDIA JN.,19:05:00,11:15:00,Sunday,Sunday,14466
12106,VIDARBHA EXP,GONDIA JN.,CST-MUMBAI,14:50:00,07:00:00,Sunday,Sunday,11723
12109,PANCHAVATI E,CST-MUMBAI,MANMAD JN.,18:15:00,22:50:00,Saturday,Saturday,1398
12110,PANCHAVTI EX,MANMAD JN.,CST-MUMBAI,06:02:00,10:45:00,Sunday,Sunday,1195
12111,CSMT-AMI SF,CST-MUMBAI,AMRAVATI,19:55:00,08:05:00,Sunday,Sunday,5381
12112,AMI-CSMT SF,AMRAVATI,CST-MUMBAI,19:05:00,06:25:00,Monday,Monday,4082
12115,CSTM-SUR SID,CST-MUMBAI,SOLAPUR,22:45:00,06:50:00,Saturday,Saturday,2799
12116,SUR-CSMT SID,SOLAPUR,CST-MUMBAI,22:45:00,06:50:00,Saturday,Saturday,3649
12123,DECCAN QUEEN,CST-MUMBAI,PUNE JN.,17:10:00,20:25:00,Wednesday,Wednesday,606
12124,DECCAN QUEEN,PUNE JN.,CST-MUMBAI,07:15:00,10:25:00,Sunday,Sunday,436
12125,PRAGATI EXPR,CST-MUMBAI,PUNE JN.,16:25:00,19:50:00,Sunday,Sunday,712
12126,PRAGATI EXPR,PUNE JN.,CST-MUMBAI,07:50:00,11:15:00,Saturday,Saturday,802
12127,INTERCITY EX,CST-MUMBAI,PUNE JN.,06:40:00,09:57:00,Monday,Monday,548
12128,INTERCITY EX,PUNE JN.,CST-MUMBAI,17:55:00,21:05:00,Saturday,Saturday,594
